Instance,Cities,Runs,Initial Temperature,Cooling Rate,Initialization,Average Initial Cost,Best Cost,Average Cost,Worst Cost,Average Accepted Moves,Average Worse Moves Accepted,Average Iterations,Average Time (s)
Test 1,10,5,100,0.995,Greedy,1429,1311,1311.0,1311,3585.4,400.0,100000.0,0.388751
Test 1,10,5,1000,0.995,Greedy,1429,1311,1311.0,1311,19840.4,8540.4,100000.0,0.383288
Test 1,10,5,5000,0.995,Greedy,1429,1311,1311.0,1311,46928.2,22125.6,100000.0,0.386474
Test 2,20,5,100,0.995,Greedy,2430,1583,1645.0,1692,1065.6,237.6,100000.0,0.452151
Test 2,20,5,1000,0.995,Greedy,2430,1583,1601.0,1673,18846.0,9116.6,100000.0,0.456839
Test 2,20,5,5000,0.995,Greedy,2430,1583,1631.8,1705,47020.0,23152.2,100000.0,0.464443
Test 3,50,5,100,0.995,Greedy,4049,2427,2521.8,2618,763.4,329.8,100000.0,0.669134
Test 3,50,5,1000,0.995,Greedy,4049,2363,2553.8,2867,19031.6,9416.2,100000.0,0.660118
Test 3,50,5,5000,0.995,Greedy,4049,2649,2905.8,3141,47258.0,23602.6,100000.0,0.672361
Test 4,100,5,100,0.995,Greedy,4289,3390,3651.0,3830,585.8,253.6,100000.0,0.92397
Test 4,100,5,1000,0.995,Greedy,4289,3525,3795.6,3993,18853.8,9401.2,100000.0,0.992438
Test 4,100,5,5000,0.995,Greedy,4289,4289,4289.0,4289,47215.2,23553.6,100000.0,1.033135
Test 5,200,5,100,0.995,Greedy,6156,4826,5351.8,5875,595.4,256.2,100000.0,1.521532
Test 5,200,5,1000,0.995,Greedy,6156,6137,6152.2,6156,19263.0,9517.8,100000.0,1.667435
Test 5,200,5,5000,0.995,Greedy,6156,6156,6156.0,6156,47596.8,23717.8,100000.0,1.764711
