Instance,Cities,Runs,Initial Temperature,Cooling Rate,Initialization,Average Initial Cost,Best Cost,Average Cost,Worst Cost,Average Accepted Moves,Average Worse Moves Accepted,Average Iterations,Average Time (s)
Test 1,10,5,100,0.9,Greedy,1429,1311,1358.2,1429,341.0,19.0,11000.0,0.043862
Test 1,10,5,100,0.95,Greedy,1429,1311,1311.0,1311,704.0,36.2,22500.0,0.085106
Test 1,10,5,100,0.995,Greedy,1429,1311,1311.0,1311,3585.4,400.0,100000.0,0.384495
Test 2,20,5,100,0.9,Greedy,2430,1637,1800.0,1959,113.8,25.0,11000.0,0.050829
Test 2,20,5,100,0.95,Greedy,2430,1583,1755.2,1849,213.4,41.0,22500.0,0.10117
Test 2,20,5,100,0.995,Greedy,2430,1583,1645.0,1692,1065.6,237.6,100000.0,0.463281
Test 3,50,5,100,0.9,Greedy,4049,2621,2879.6,3004,61.0,19.2,11000.0,0.070729
Test 3,50,5,100,0.95,Greedy,4049,2572,2784.4,3068,106.4,36.0,22500.0,0.145005
Test 3,50,5,100,0.995,Greedy,4049,2427,2521.8,2618,763.4,329.8,100000.0,0.632965
Test 4,100,5,100,0.9,Greedy,4289,3308,3761.4,4096,36.4,10.0,11000.0,0.104016
Test 4,100,5,100,0.95,Greedy,4289,3469,3637.6,3839,71.0,22.4,22500.0,0.215821
Test 4,100,5,100,0.995,Greedy,4289,3390,3651.0,3830,585.8,253.6,100000.0,0.932339
Test 5,200,5,100,0.9,Greedy,6156,4584,4876.4,5077,28.4,6.2,11000.0,0.176338
Test 5,200,5,100,0.95,Greedy,6156,4667,4930.0,5269,65.2,15.2,22500.0,0.356123
Test 5,200,5,100,0.995,Greedy,6156,4826,5351.8,5875,595.4,256.2,100000.0,1.538739
