Instance,Cities,Runs,Initial Temperature,Cooling Rate,Initialization,Average Initial Cost,Best Cost,Average Cost,Worst Cost,Average Accepted Moves,Average Worse Moves Accepted,Average Iterations,Average Time (s)
Test 1,10,5,100,0.995,Random,4153.2,1311,1311.0,1311,3598.2,404.0,100000.0,0.3774
Test 1,10,5,100,0.995,Greedy,1429.0,1311,1311.0,1311,3585.4,400.0,100000.0,0.386692
Test 2,20,5,100,0.995,Random,10283.2,1583,1614.0,1662,1085.8,244.4,100000.0,0.445225
Test 2,20,5,100,0.995,Greedy,2430.0,1583,1645.0,1692,1065.6,237.6,100000.0,0.446011
Test 3,50,5,100,0.995,Random,23872.6,2371,2464.2,2597,860.2,349.4,100000.0,0.626371
Test 3,50,5,100,0.995,Greedy,4049.0,2427,2521.8,2618,763.4,329.8,100000.0,0.626819
Test 4,100,5,100,0.995,Random,50839.0,3216,3543.8,3794,890.6,346.2,100000.0,0.947428
Test 4,100,5,100,0.995,Greedy,4289.0,3390,3651.0,3830,585.8,253.6,100000.0,0.932632
Test 5,200,5,100,0.995,Random,98307.6,5493,5689.8,5950,1208.0,409.4,100000.0,1.581161
Test 5,200,5,100,0.995,Greedy,6156.0,4826,5351.8,5875,595.4,256.2,100000.0,1.543388
